"gene_i","gene_j","pcor_asthma","pcor_normal","delta","p_emp_lambda_as","p_emp_lambda_no","p_emp","q_fdr"
"206700_s_at","230760_at",0.00133314051850531,0.0122866594909102,-0.0109535189724049,0.134328358208955,0.194029850746269,0.194029850746269,0.88928596454348
"221606_s_at","218349_s_at",0.00941389262364612,0,0.00941389262364612,0.17910447761194,0.194029850746269,0.194029850746269,0.88928596454348
"236694_at","228492_at",0.0296967942425865,0.0265738839468669,0.0031229102957196,0.199004975124378,0.169154228855721,0.199004975124378,0.88928596454348
"228492_at","214131_at",0.0194496738225333,0.0255401837286129,-0.00609050990607963,0.194029850746269,0.199004975124378,0.199004975124378,0.88928596454348
"219990_at","218349_s_at",0.0286410373529572,0,0.0286410373529572,0.199004975124378,0.17910447761194,0.199004975124378,0.88928596454348
"224588_at","206624_at",-0.0144686491828282,-0.021920788479713,0.0074521392968848,0.203980099502488,0.164179104477612,0.203980099502488,0.88928596454348
"218349_s_at","204444_at",0.0294337806619767,0.0074288310437513,0.0220049496182254,0.159203980099502,0.203980099502488,0.203980099502488,0.88928596454348
"227671_at","214218_s_at",0.0467878892936132,0.0403059308272472,0.00648195846636602,0.208955223880597,0.114427860696517,0.208955223880597,0.88928596454348
"224589_at","228492_at",-0.0216884733401492,-0.0270018957357195,0.00531342239557037,0.174129353233831,0.208955223880597,0.208955223880597,0.88928596454348
"208828_at","218195_at",0.0101257266823243,0,0.0101257266823243,0.18407960199005,0.208955223880597,0.208955223880597,0.88928596454348
"224590_at","223645_s_at",-0.0209063675108549,-0.0270320516175976,0.00612568410674261,0.213930348258706,0.174129353233831,0.213930348258706,0.88928596454348
"218195_at","211137_s_at",0.00438897264481921,0,0.00438897264481921,0.199004975124378,0.213930348258706,0.213930348258706,0.88928596454348
"204444_at","209891_at",0.0292934505293028,0.013169977553518,0.0161234729757848,0.18407960199005,0.213930348258706,0.213930348258706,0.88928596454348
"224588_at","214218_s_at",0.0457914314712848,0.040626500303998,0.00516493116728679,0.218905472636816,0.164179104477612,0.218905472636816,0.88928596454348
"232618_at","223646_s_at",0.035157977384971,0.0313127785189279,0.00384519886604315,0.223880597014925,0.164179104477612,0.223880597014925,0.88928596454348
"202904_s_at","218195_at",0.0181414738120489,0.000571129244217184,0.0175703445678317,0.223880597014925,0.189054726368159,0.223880597014925,0.88928596454348
"221728_x_at","236694_at",-0.0233724724338422,-0.0295349818630228,0.00616250942918069,0.228855721393035,0.169154228855721,0.228855721393035,0.88928596454348
"224588_at","223645_s_at",-0.0224355285375078,-0.0286904442162364,0.00625491567872862,0.228855721393035,0.18407960199005,0.228855721393035,0.88928596454348
"205001_s_at","228492_at",0.0337639255434403,0.0302947781263942,0.00346914741704608,0.228855721393035,0.228855721393035,0.228855721393035,0.88928596454348
"218195_at","224604_at",0.0204606560867773,0,0.0204606560867773,0.223880597014925,0.228855721393035,0.228855721393035,0.88928596454348
"221727_at","226860_at",0.0186053496680452,0,0.0186053496680452,0.228855721393035,0.228855721393035,0.228855721393035,0.88928596454348
"227671_at","236694_at",-0.0232548354501359,-0.0303129151546267,0.00705807970449086,0.233830845771144,0.189054726368159,0.233830845771144,0.88928596454348
"AFFX-HUMRGE/M10098_5_at","AFFX-HUMRGE/M10098_M_at",0.0593455155470551,0.0630479824975958,-0.00370246695054074,0.208955223880597,0.233830845771144,0.233830845771144,0.88928596454348
"224590_at","228492_at",-0.0194280832637587,-0.0251561743003994,0.00572809103664072,0.194029850746269,0.233830845771144,0.233830845771144,0.88928596454348
"219990_at","204240_s_at",0.00152517237331484,0,0.00152517237331484,0.174129353233831,0.233830845771144,0.233830845771144,0.88928596454348
"214218_s_at","236694_at",-0.0238042483079599,-0.0298200966999764,0.00601584839201644,0.238805970149254,0.208955223880597,0.238805970149254,0.88928596454348
"205001_s_at","232618_at",0.0251833284681964,0.0297798848149975,-0.00459655634680103,0.238805970149254,0.223880597014925,0.238805970149254,0.88928596454348
"208828_at","204444_at",0.0227287172545141,0.00548779344254699,0.0172409238119671,0.223880597014925,0.238805970149254,0.238805970149254,0.88928596454348
"203967_at","226860_at",0.0188608163791412,0.00429597908146704,0.0145648372976742,0.238805970149254,0.233830845771144,0.238805970149254,0.88928596454348
"214218_s_at","206700_s_at",-0.0238033802758119,-0.0312731666186355,0.00746978634282356,0.243781094527363,0.223880597014925,0.243781094527363,0.88928596454348
"204409_s_at","206700_s_at",0.0361762970131452,0.0331128007640487,0.0030634962490965,0.243781094527363,0.228855721393035,0.243781094527363,0.88928596454348
"204409_s_at","232618_at",0.0267787256243962,0.0301869553186179,-0.00340822969422167,0.218905472636816,0.243781094527363,0.243781094527363,0.88928596454348
"205001_s_at","230760_at",0.00890055861624139,0.0183040018188767,-0.00940344320263535,0.223880597014925,0.243781094527363,0.243781094527363,0.88928596454348
"204240_s_at","204444_at",0.0173113863196216,0,0.0173113863196216,0.189054726368159,0.248756218905473,0.248756218905473,0.900224902882846
"221728_x_at","206700_s_at",-0.0233897320106955,-0.0315895493202918,0.00819981730959631,0.253731343283582,0.208955223880597,0.253731343283582,0.900224902882846
"218195_at","204240_s_at",0.00912610499381231,0,0.00912610499381231,0.253731343283582,0.248756218905473,0.253731343283582,0.900224902882846
"218195_at","219017_at",0.0149364731183203,0,0.0149364731183203,0.253731343283582,0.213930348258706,0.253731343283582,0.900224902882846
"236203_at","212999_x_at",0.0498505921321346,0.043009456801976,0.00684113533015856,0.258706467661692,0.253731343283582,0.258706467661692,0.910580431177446
"224589_at","223646_s_at",-0.0250650767364569,-0.0294522023530385,0.00438712561658165,0.263681592039801,0.174129353233831,0.263681592039801,0.910580431177446
"219493_at","218349_s_at",0.0271318719427804,0,0.0271318719427804,0.218905472636816,0.263681592039801,0.263681592039801,0.910580431177446
"234764_x_at","215946_x_at",0,0.00159815193185444,-0.00159815193185444,0.199004975124378,0.263681592039801,0.263681592039801,0.910580431177446
"214218_s_at","228492_at",-0.0234384325065178,-0.0283295489785977,0.00489111647207994,0.203980099502488,0.26865671641791,0.26865671641791,0.915553809897879
"219493_at","204444_at",0.0245484774003038,0.0360961179720862,-0.0115476405717824,0.213930348258706,0.26865671641791,0.26865671641791,0.915553809897879
"218349_s_at","204240_s_at",0.0210798037973767,0,0.0210798037973767,0.223880597014925,0.27363184079602,0.27363184079602,0.925117999744866
"224590_at","223646_s_at",-0.0232204923180314,-0.0281403115390468,0.00491981922101539,0.278606965174129,0.203980099502488,0.278606965174129,0.925117999744866
"205000_at","214131_at",0.0196359721510897,0.025270306659863,-0.00563433450877334,0.278606965174129,0.199004975124378,0.278606965174129,0.925117999744866
"203967_at","218349_s_at",0.0164840754008699,0,0.0164840754008699,0.238805970149254,0.278606965174129,0.278606965174129,0.925117999744866
"224589_at","223645_s_at",-0.0222700412258717,-0.0275654135375835,0.00529537231171179,0.283582089552239,0.223880597014925,0.283582089552239,0.928401470906338
"204409_s_at","205001_s_at",0.0348580745774208,0.0318864585697907,0.00297161600763014,0.288557213930348,0.238805970149254,0.288557213930348,0.928401470906338
"205000_at","232618_at",0.0226722145592956,0.0269704676470177,-0.0042982530877221,0.278606965174129,0.288557213930348,0.288557213930348,0.928401470906338
"219493_at","219990_at",0.0293831711224601,0.0166312154393534,0.0127519556831067,0.218905472636816,0.288557213930348,0.288557213930348,0.928401470906338
"208828_at","222848_at",0.00285053049502936,0,0.00285053049502936,0.243781094527363,0.288557213930348,0.288557213930348,0.928401470906338
"206700_s_at","204410_at",0.0381002564338675,0.0352064494783123,0.00289380695555524,0.298507462686567,0.288557213930348,0.298507462686567,0.942846741900255
"205000_at","223646_s_at",0.0300297688884766,0.0333119896685229,-0.00328222078004631,0.298507462686567,0.233830845771144,0.298507462686567,0.942846741900255
"223645_s_at","1570360_s_at",0.0189443015142868,0.0251712437630964,-0.00622694224880964,0.298507462686567,0.248756218905473,0.298507462686567,0.942846741900255
"205001_s_at","223646_s_at",0.0274073385249181,0.031036955986089,-0.00362961746117095,0.303482587064677,0.308457711442786,0.308457711442786,0.955048287971905
"221727_at","212205_at",0.00194800974886477,0,0.00194800974886477,0.308457711442786,0.303482587064677,0.308457711442786,0.955048287971905
"223645_s_at","228492_at",0.0292270974257091,0.0320996517709291,-0.00287255434522001,0.313432835820896,0.308457711442786,0.313432835820896,0.955048287971905
"205000_at","1570360_s_at",0.0273833954719204,0.0218369750107746,0.00554642046114582,0.313432835820896,0.248756218905473,0.313432835820896,0.955048287971905
"228729_at","204444_at",0.0228376106961786,0.00377823753357963,0.019059373162599,0.288557213930348,0.313432835820896,0.313432835820896,0.955048287971905
"219990_at","226860_at",0.0122750283277909,0,0.0122750283277909,0.313432835820896,0.308457711442786,0.313432835820896,0.955048287971905
"221728_x_at","204410_at",-0.0266652305327784,-0.0317178500791074,0.00505261954632897,0.323383084577114,0.293532338308458,0.323383084577114,0.968279987346505
"208828_at","204759_at",0.000937871238257292,0,0.000937871238257292,0.313432835820896,0.323383084577114,0.323383084577114,0.968279987346505
"208828_at","228729_at",0.00637419279941248,0,0.00637419279941248,0.233830845771144,0.323383084577114,0.323383084577114,0.968279987346505
"209480_at","212999_x_at",0.0524289713830369,0.0483389142443387,0.00409005713869821,0.328358208955224,0.308457711442786,0.328358208955224,0.970037453183521
"206700_s_at","244482_at",0.00501037454601419,0.0124802971584854,-0.00746992261247119,0.248756218905473,0.333333333333333,0.333333333333333,0.970037453183521
"218195_at","211727_s_at",0.00669984209495963,0,0.00669984209495963,0.333333333333333,0.318407960199005,0.333333333333333,0.970037453183521
"218195_at","222848_at",0.0210315904592619,0,0.0210315904592619,0.333333333333333,0.313432835820896,0.333333333333333,0.970037453183521
"213689_x_at","226860_at",0.0116149711215887,0,0.0116149711215887,0.333333333333333,0.293532338308458,0.333333333333333,0.970037453183521
"218349_s_at","226860_at",0.0232828323462076,0,0.0232828323462076,0.338308457711443,0.283582089552239,0.338308457711443,0.979015536840935
