"gene_i","gene_j","pcor_asthma","pcor_normal","delta"
"213534_s_at","AFFX-BioB-3_at",-0.287426477161567,0.055819183135111,-0.343245660296678
"212205_at","227224_at",0.00987966755084735,-0.333192264969938,0.343071932520785
"236165_at","226641_at",0.00475681572248288,0.347048707315347,-0.342291891592864
"224838_at","224604_at",-0.00222778771410743,0.339889137641888,-0.342116925355996
"230425_at","235341_at",-0.00460035658800501,-0.346168834270131,0.341568477682126
"209682_at","230866_at",0.00651677815210559,-0.3348241590208,0.341340937172905
"227556_at","230659_at",0.0906536364062917,0.431529996235215,-0.340876359828923
"204999_s_at","200908_s_at",0.00162708245816531,-0.338783329908822,0.340410412366988
"226085_at","200952_s_at",-0.0895165146262571,-0.428945436762066,0.339428922135809
"211637_x_at","215379_x_at",-0.310757065613296,0.0277528447629409,-0.338509910376237
"225710_at","224837_at",-0.0565304420126818,-0.394687177083162,0.33815673507048
"213797_at","208828_at",-0.00673453001979133,-0.344042028585518,0.337307498565727
"201242_s_at","216207_x_at",-0.0553887756230979,-0.392120422727917,0.336731647104819
"219463_at","211798_x_at",0.00308687663079505,0.339102838414899,-0.336015961784104
"215379_x_at","211640_x_at",-0.299785081343503,0.0361975661227122,-0.335982647466215
"214041_x_at","205034_at",0.0181543787141417,0.353664066593838,-0.335509687879696
"211367_s_at","AFFX-BioB-M_at",0.341528425485197,0.00899755270111579,0.332530872784081
"232007_at","226223_at",0.0219664554810248,0.354396490761836,-0.332430035280811
"219602_s_at","201122_x_at",-0.366426771108666,-0.0364147254492609,-0.330012045659405
"209803_s_at","209301_at",0.0418347944917909,0.371809995517579,-0.329975201025788
"1565162_s_at","210839_s_at",-0.292495680404936,0.0372975686158001,-0.329793249020736
"223578_x_at","223940_x_at",0.00130814162015562,0.330248072818443,-0.328939931198287
"204866_at","216268_s_at",0.00711827574672186,0.335479970863925,-0.328361695117203
"214039_s_at","210105_s_at",0.106000158234022,0.434353317823145,-0.328353159589123
"214777_at","225911_at",-0.056493102008118,-0.384281264323576,0.327788162315458
"214916_x_at","224321_at",-0.0187206857065166,-0.346255635946444,0.327534950239928
"211368_s_at","209524_at",0.442671177320437,0.115536007560617,0.32713516975982
"224499_s_at","233827_s_at",0.27948286283853,-0.0475624325598088,0.327045295398339
"230877_at","219497_s_at",0.0459984102846285,0.372988956538391,-0.326990546253762
"219759_at","224499_s_at",0.384028648411042,0.0577780153615132,0.326250633049529
"1554679_a_at","202936_s_at",0.295417863083356,-0.0302601654039892,0.325678028487346
"236165_at","235274_at",0.03353328835637,0.359044658700736,-0.325511370344366
"230877_at","235341_at",-0.0290171159007029,-0.35424040740704,0.325223291506337
"213642_at","227524_at",0.124672352108407,0.448801513661271,-0.324129161552863
"209210_s_at","212192_at",-0.00932161184587803,-0.332865860630108,0.32354424878423
"216491_x_at","215379_x_at",0.38587195210676,0.0637874855329379,0.322084466573822
"209278_s_at","216033_s_at",0.0435660433172928,0.365349735936787,-0.321783692619494
"211367_s_at","224838_at",-0.276032534531955,0.0455827888793097,-0.321615323411264
"223940_x_at","213753_x_at",0.289522741229626,-0.0315409485028001,0.321063689732426
"236641_at","222848_at",0.00932917138595921,0.329982571206305,-0.320653399820346
"228528_at","202146_at",0.0125681139163022,0.333104449998282,-0.32053633608198
"211077_s_at","235341_at",0.0172921904177089,0.33782726178858,-0.320535071370871
"211555_s_at","224838_at",0.277451404728714,-0.0429902568397007,0.320441661568415
"224918_x_at","216693_x_at",0.348297436680501,0.0295459753880608,0.31875146129244
"219777_at","235868_at",-0.0247306749237463,-0.343114114781493,0.318383439857746
"211645_x_at","225904_at",0.0203272335825979,0.338203742310957,-0.317876508728359
"211641_x_at","213534_s_at",-0.310319419445527,0.00663302751740818,-0.316952446962935
"1559280_a_at","205463_s_at",-0.0389249371744463,-0.355171152893321,0.316246215718875
"209138_x_at","212092_at",0.0364739245999291,0.351815997355919,-0.31534207275599
"211368_s_at","1564053_a_at",-0.0163332014657773,-0.331652295749176,0.315319094283399
"216945_x_at","AFFX-BioB-M_at",-0.282271806258225,0.0326589051240075,-0.314930711382232
"228518_at","213875_x_at",-0.0420456769780885,-0.356544218947336,0.314498541969248
"219759_at","219841_at",-0.343986972911106,-0.0303317288375837,-0.313655244073522
"206701_x_at","217127_at",-0.0148349986314087,-0.328211488592613,0.313376489961204
"1559584_a_at","1552703_s_at",0.0488834418110073,0.361835738778624,-0.312952296967617
"211368_s_at","221253_s_at",-0.319836864586077,-0.00695659958934656,-0.31288026499673
"220892_s_at","222846_at",0.137782793508466,0.450518148758023,-0.312735355249557
"208029_s_at","203186_s_at",-0.0159693575017761,-0.328603829869027,0.31263447236725
"224837_at","218967_s_at",-0.0358326081051559,-0.348282049825864,0.312449441720708
"200908_s_at","202648_at",0.38667867556024,0.699109775804372,-0.312431100244131
"AFFX-HUMRGE/M10098_5_at","AFFX-HUMRGE/M10098_3_at",0.491234408734794,0.179117682079469,0.312116726655325
"219274_at","44783_s_at",0.0347411473926297,0.346740513792429,-0.311999366399799
"238430_x_at","201890_at",0.0337658427062597,0.344837074978585,-0.311071232272325
"222846_at","213534_s_at",0.028009161164685,0.338992128939766,-0.310982967775081
"208828_at","223079_s_at",-0.0407561049640756,-0.351570038464731,0.310813933500655
"211555_s_at","224837_at",-0.283732479890112,0.0269111720774573,-0.31064365196757
"216491_x_at","216853_x_at",0.28490746462647,-0.0256098449991706,0.31051730962564
"222846_at","227646_at",0.276499876173883,-0.0330289572400065,0.30952883341389
"216207_x_at","217480_x_at",0.153954545802292,0.463464250791171,-0.309509704988878
"214039_s_at","225626_at",0.045969826652112,0.355327801159301,-0.309357974507189
"226612_at","221253_s_at",-0.049494090141807,-0.35876209968474,0.309268009542933
"214039_s_at","216033_s_at",-0.124003184184882,-0.433040798461531,0.309037614276649
"236293_at","236641_at",-0.0480492649367619,-0.356892684555554,0.308843419618792
"219599_at","213524_s_at",-0.0432065693412197,-0.352023739473173,0.308817170131953
"229584_at","229530_at",0.0894227936738499,0.39717697592375,-0.3077541822499
"201131_s_at","201243_s_at",-0.0294894304143627,-0.336189491008518,0.306700060594155
"201890_at","209025_s_at",0.17930361097255,0.484476646231669,-0.305173035259119
"211368_s_at","AFFX-BioB-3_at",0.31450613601587,0.0110912209764221,0.303414915039448
"215379_x_at","216542_x_at",-0.283746003508868,0.0195952774682929,-0.303341280977161
"217028_at","1554240_a_at",0.065585151670795,0.368666147757829,-0.303080996087034
"231899_at","230877_at",-0.349881401655116,-0.0469427132738274,-0.302938688381288
"223940_x_at","224567_x_at",0.108626019475217,0.411374073997285,-0.302748054522067
"204866_at","205105_at",0.0316064221679709,0.334268333612031,-0.30266191144406
"215946_x_at","211868_x_at",0.035898997582426,0.337904032328547,-0.302005034746121
"212205_at","AFFX-BioB-M_at",-0.277092183859666,0.0245559332649892,-0.301648117124655
"224156_x_at","224918_x_at",0.321165126595437,0.0197659940331288,0.301399132562308
